     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         184.139;           3.107;           3.150;           3.115;           0.008 ( 0.254 %);  19594.332
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          56.018;           3.939;           4.245;           3.958;           0.052 ( 1.312 %);  15421.533
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         284.142;           3.106;           3.390;           3.125;           0.049 ( 1.567 %);  19533.523
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         298.378;           3.939;           4.205;           3.955;           0.045 ( 1.142 %);  15430.512
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1490.349;           3.105;           3.384;           3.123;           0.047 ( 1.519 %);  19546.413
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          31.956;           3.942;           4.226;           3.959;           0.048 ( 1.217 %);  15415.042
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         245.262;           3.107;           3.393;           3.124;           0.049 ( 1.576 %);  19539.397
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          89.796;           3.832;           4.149;           3.851;           0.054 ( 1.398 %);  15849.420
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1221.119;           3.022;           3.298;           3.043;           0.051 ( 1.684 %);  20060.557
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          58.681;           3.832;           4.089;           3.850;           0.044 ( 1.134 %);  15853.537
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         177.457;           3.022;           3.304;           3.040;           0.048 ( 1.583 %);  20078.955
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          35.101;           3.939;          19.596;           5.584;           3.154 (56.479 %);  10929.594
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          90.323;           3.107;           3.393;           3.126;           0.054 ( 1.734 %);  19521.974
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          63.535;           3.855;          23.356;           5.377;           4.373 (81.340 %);  11351.922
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          49.733;           3.107;          18.526;           4.259;           3.452 (81.053 %);  14330.866
